S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
2128,14586,Khudi (156),खुड्डी (156),Rewalsar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00775400,014586,N,,,,
2129,14039,Khudi (338),खुडी  (338),Bhadrota(Sub-District) / Mandi(District) / Himachal Pradesh(State),00719000,014039,N,,,,
2130,14107,Khudla (488),खुडला (488),Baldwara(Sub-District) / Mandi(District) / Himachal Pradesh(State),00727500,014107,N,,,,
2131,14368,Khugraon (126),खग्राओ (126),Sundarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00753600,014368,N,,,,
2132,15009,Khuhan (658),खुहण (658),Bali Chowki(Sub-District) / Mandi(District) / Himachal Pradesh(State),00817700,015009,N,,,,
2133,15736,Khumba (261),खुम्बा (261),Pangna(Sub-District) / Mandi(District) / Himachal Pradesh(State),00890400,015736,N,,,,
2134,14919,Khuragi (546),खुड़ागी (546),Bali Chowki(Sub-District) / Mandi(District) / Himachal Pradesh(State),00808700,014919,N,,,,
2135,14303,Khurahal (79),खुराहल (79),Dehar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00747100,014303,N,,,,
2136,13701,Khylag (155),खैलग (155),Dharmpur(Sub-District) / Mandi(District) / Himachal Pradesh(State),00686900,013701,N,,,,
2137,15322,Khyog (11),ख्योग (11),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00849000,015322,N,,,,
2138,15987,Kidiya (124),कीडिया (124),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00915500,015987,N,,,,
2139,14841,Kigas (521),किगस (521),Aut(Sub-District) / Mandi(District) / Himachal Pradesh(State),00800900,014841,N,,,,
2140,14206,Kihran (569),किहरन (569),Baldwara(Sub-District) / Mandi(District) / Himachal Pradesh(State),00737400,014206,N,,,,
2141,15433,Kiling (159),किलिंग (159),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00860100,015433,N,,,,
2142,15613,Kinder (283),किन्दर (283),Nihri(Sub-District) / Mandi(District) / Himachal Pradesh(State),00878100,015613,N,,,,
2143,15959,Kithiyun (78),कथियूण (78),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00912700,015959,N,,,,
2144,13461,Kochhu (37),कोच्छू (37),Lad Bharol(Sub-District) / Mandi(District) / Himachal Pradesh(State),00662900,013461,N,,,,
