S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1489,20437,Kharaun Jeri (256),खड़ोन जेरी (256),Darlaghat(Sub-District) / Solan(District) / Himachal Pradesh(State),01319100,020437,N,,,,
1490,21206,Kharota (228),खरोटा (228),Baddi(Sub-District) / Solan(District) / Himachal Pradesh(State),01451300,021206,N,,,,
1491,20500,Kharpana (278),खरपाना (278),Ramshahr(Sub-District) / Solan(District) / Himachal Pradesh(State),01357300,020500,N,,,,
1492,21430,Kharsi (467),खारशी (467),Krishangarh(Sub-District) / Solan(District) / Himachal Pradesh(State),01444000,021430,N,,,,
1493,20798,Kharuni (49),खरुनी (49),Panjehra(Sub-District) / Solan(District) / Himachal Pradesh(State),01387100,020798,N,,,,
1494,21056,Kharyana (413),खरयाणा (413),Baddi(Sub-District) / Solan(District) / Himachal Pradesh(State),01412600,021056,N,,,,
1495,20383,Khata (199),खाता (199),Darlaghat(Sub-District) / Solan(District) / Himachal Pradesh(State),01313500,020383,N,,,,
1496,21326,Khechi (425),खेची (425),Krishangarh(Sub-District) / Solan(District) / Himachal Pradesh(State),01430400,021326,N,,,,
1497,21950,Kheel Ber Ser (794),खील बरसेर (794),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01501800,021950,N,,,,
1498,21945,Kheel Jashli (788),खील जाशली (788),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01501300,021945,N,,,,
1499,20712,Khera (196),खेडा (196),Ramshahr(Sub-District) / Solan(District) / Himachal Pradesh(State),01378500,020712,N,,,,
1500,21014,Khera (376),खेडा (376),Nalagarh(Sub-District) / Solan(District) / Himachal Pradesh(State),01409000,021014,N,,,,
1501,20989,Khera Nichla (150),खेडा निचला (150),Nalagarh(Sub-District) / Solan(District) / Himachal Pradesh(State),01406400,020989,N,,,,
