S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
633,26961,Thangi Khas (53/1),ठंगी खास (53/1),Morang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01970600,026961,F,,,,
634,26721,Thang Karma (29/4),थंग कर्मा (29/4),Hangrang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01946600,026721,F,,,,
635,27319,Thapa Saring (34/2),थापा सांरिग (34/2),Sangla(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),02006400,027319,F,,,,
636,27264,Thikru (2/2),ठिकरु (2/2),Sangla(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),02000900,027264,F,,,,
637,26773,Thoropa (43/2),थोरोपा (43/2),Poo(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01951800,026773,F,,,,
638,27123,Thuskeo Dhar (25),थूस्क्यूधार (25),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01986800,027123,F,,,,
639,26917,Thuwaring (64/5),थुवारिंग (64/5),Morang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01965500,026917,F,,,,
640,27098,Tiche (7/2),तिचे (7/2),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01984300,027098,F,,,,
641,27181,Tikrang (36/5),टिकरंग (36/5),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01992600,027181,F,,,,
642,27299,Tilchakhuwa Dhar (17),तिलचख़ुवा धार (17),Sangla(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),02004400,027299,F,,,,
643,27086,Tinrang (1/6),तिनरंग (1/6),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01983100,027086,F,,,,
644,26879,Tokto (7/2),तोकतो (7/2),Morang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01960700,026879,F,,,,
645,27257,Upat Dhar (82),उपट धार (82),Tapri(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),02000200,027257,F,,,,
646,27222,Urawning (91/2),उरावनिंग (91/2),Tapri(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01996700,027222,F,,,,
647,27230,Urni Khas (100/1),उरनी खास (100/1),Tapri(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01997500,027230,F,,,,
648,26937,Wato (40/6),वाटो (40/6),Morang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01967400,026937,F,,,,
649,26988,Wevgya (59/3),वेवज्ञा (59/3),Morang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01973300,026988,F,,,,
650,27119,Yangpa (30/6),य़ांगपा (30/6),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01986400,027119,F,,,,
651,26750,Yangthang (21/2),यंगथगं (21/2),Hangrang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01949500,026750,F,,,,
652,26840,Yangti Kanda (30/4),यंगती  कण्ड़ा (30/4),Poo(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01958500,026840,F,,,,
653,27225,Yashang (91/5),याशंग (91/5),Tapri(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01997000,027225,F,,,,
654,27213,Yashang Dhar (93),याशंगधार (93),Tapri(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01995800,027213,F,,,,
655,27126,Yotrang (30/9),योतरंग (30/9),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01987100,027126,F,,,,
656,26737,Yulang (35/3),युलांग (35/3),Hangrang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01948200,026737,F,,,,
657,27233,Yuldang (102/2),यूलडंग (102/2),Tapri(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01997800,027233,F,,,,
658,27232,Yulla Khas (102/1),यूला खास (102/1),Tapri(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01997700,027232,F,,,,
659,27056,Yusaring (37/2),युसारिंग (37/2),Kalpa(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01980100,027056,F,,,,
660,27054,Yuwarangi (19/1),युवारंगी (19/1),Kalpa(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01979900,027054,F,,,,
