S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
473,22850,Kangar Dubahan (164),कांगर दुवांहा (164),Narag(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01591800,022850,N,,,,
474,23127,Kangar Ghund (60),कांगर घूंड (60),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01619500,023127,N,,,,
475,22709,Kangar Khopar (379),कांगर खोपर (379),Narag(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01577700,022709,N,,,,
476,23367,Kangra Gurasa (36),कांगड़ा गुरासा (36),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01643000,023367,N,,,,
477,23077,Kangta Phelog (76),कांगटा फेलग (76),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01614600,023077,N,,,,
478,22736,Kangu Nohra (299),कांगू नौहरा (299),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01580400,022736,N,,,,
479,22595,Kanhech (126),कनैच (126),Rajgarh(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01566300,022595,N,,,,
480,22939,Kanhut Jawana (216),कनहुत जावना (216),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01600700,022939,N,,,,
481,22559,Kanog Dhandhrel (66),कनोग धन्धड़ेल (66),Rajgarh(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01562700,022559,N,,,,
482,22731,Kanrari (294),कनराड़ी (294),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01579900,022731,N,,,,
483,23262,Kansar (71),कांसर (71),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01633000,023262,N,,,,
484,23338,Kansipur (94),कांशीपुर (94),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01640100,023338,N,,,,
485,23415,Kanti Mishwa (216),कान्टी मशवा (216),Kamrau(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01647800,023415,N,,,,
486,22730,Kanun Kurfar (292),कनून कुरफड़ (292),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01579800,022730,N,,,,
487,22946,Kanyo Shirla (211),कन्यों शिरला (211),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01601400,022946,N,,,,
488,23119,Karagra (18),करगड़ा (18),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01618700,023119,N,,,,
489,22630,Karang (101),कडँग (101),Rajgarh(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01569800,022630,N,,,,
490,22577,Karganoo (52),करगाणु (52),Rajgarh(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01564500,022577,N,,,,
491,22533,Karoli (24),कडोली (24),Pajhota(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01560100,022533,N,,,,
492,23084,Kashelag Mashaga (75),कशेलग माशगा (75),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01615300,023084,N,,,,
493,22541,Kashmali Salogni (30),कशमली  शलोगनी (30),Pajhota(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01560900,022541,N,,,,
494,23082,Kataha (83),कटाहा (83),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01615100,023082,N,,,,
495,23146,Kathana (34),कठाना (34),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01621400,023146,N,,,,
496,22740,Kathar (300),कथाड़ (300),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01580800,022740,N,,,,
497,22791,Kather Jhadhola (320),कथेर जडोला (320),Narag(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01585900,022791,N,,,,
498,23207,Kathla (102),काथला (102),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01627500,023207,N,,,,
499,23067,Kathla Pachhog (77),काथला पछोग (77),Dadahu(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01613600,023067,N,,,,
500,22624,Kathli Bharan (136),काथली भरण (136),Rajgarh(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01569200,022624,N,,,,
501,23393,Kathwar (1),कठवाड़ (1),Kamrau(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01645600,023393,N,,,,
502,22756,Katli (275),काटली (275),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01582400,022756,N,,,,
