S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
256,12950,Kungash (24/76),कुंगश (24/76),Ani(Sub-District) / Kullu(District) / Himachal Pradesh(State),00611800,012950,N,,,,
257,12967,Kushwa (17/48),कुशवा (17/48),Nirmand(Sub-District) / Kullu(District) / Himachal Pradesh(State),00613500,012967,N,,,,
258,937584,Kutla,कुटला,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
259,937660,Kutlu,कुटलू,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
260,949430,Lahi.,लाही,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,eSignGOFile662648_20_02_2025_15_20_02.pdf,,,
261,12945,Lajheri (22/71),लझेरी (22/71),Ani(Sub-District) / Kullu(District) / Himachal Pradesh(State),00611300,012945,N,,,,
262,12910,Lapah (3/8),लपाह (3/8),Sainj(Sub-District) / Kullu(District) / Himachal Pradesh(State),00607800,012910,N,,,,
263,12816,Laran Kelo,ल़रां केलो,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601500,012816,N,,,,
264,937665,Lari.,लारी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,eSignGOFile662648_20_02_2025_15_28_16.pdf,,,
265,949424,Lingan,लींगन,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
266,949420,Liyani,लीयानी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
267,12810,Lohari,लौहडी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601400,012810,N,,,,
268,12974,Lote (20/62),लोट (20/62),Nither(Sub-District) / Kullu(District) / Himachal Pradesh(State),00614200,012974,N,,,,
269,937676,Lugad Bhatti,लुगड भट्ठी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
270,937592,Machhang,माँछग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
271,12708,Magana,मगाणा,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00599100,012708,N,,,,
272,12818,Mahili,माहिली,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601500,012818,N,,,,
273,12842,Mahili,माहिली,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,012842,N,,,,
274,12784,Mahili Ser,माहिली सेर,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600800,012784,N,,,,
275,12668,Majhach,मझाच,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598200,012668,N,,,,
276,12855,Majhat (30/68),मझाट (30/68),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00602300,012855,N,,,,
277,937628,Malahar,मलाहार,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
278,12882,Malana (24/44),मलाणा (24/44),Jari(Sub-District) / Kullu(District) / Himachal Pradesh(State),00605100,012882,N,,,,
279,12807,Malti Bag,मालती बाग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601300,012807,N,,,,
280,12675,Manali (21/26),मनाली (21/26),Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598400,012675,N,,,,
281,12678,Manali Koot,मनाली कूट,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598400,012678,N,,,,
282,12680,Manali Ser,मनाली सेर,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598400,012680,N,,,,
283,12772,Mandalgarh (28/62),मंडलगढ़ (28/62),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600700,012772,N,,,,
284,12803,Mandrol (27/56),मन्द्रोल (27/56),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601300,012803,N,,,,
285,12696,Mandron,मन्द्रोण,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598700,012696,N,,,,
286,12883,Manikarn (40/101),मनीकरण (40/101),Jari(Sub-District) / Kullu(District) / Himachal Pradesh(State),00605200,012883,N,,,,
287,12953,Manjhadesh (21/68),मांझादेश (21/68),Ani(Sub-District) / Kullu(District) / Himachal Pradesh(State),00612100,012953,N,,,,
288,12894,Manjhali (37/93),मंझली (37/93),Bhuntar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00606300,012894,N,,,,
289,12808,Manjhlihar (27/57),मंझलीहार,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601400,012808,N,,,,
290,12679,Manu Nagar,मनु नगर,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598400,012679,N,,,,
291,12905,Manyashi (2/6),मन्याशी(2/6),Sainj(Sub-District) / Kullu(District) / Himachal Pradesh(State),00607300,012905,N,,,,
292,12802,Mapak,मापक,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601200,012802,N,,,,
293,937647,Marghan,मड़घन,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
294,12744,Marhi,मढ़ी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600100,012744,N,,,,
295,12745,Mashada,मशाड़ा,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600100,012745,N,,,,
296,12859,Mashna (31/70),माशना,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00602700,012859,N,,,,
297,12941,Mashyar (14/39),मशयार (14/39),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00610900,012941,N,,,,
298,937634,Matan,मातन,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
299,937650,Mathala,मथाला,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
300,12797,Mathi Shil,माठी शिल,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601100,012797,N,,,,
301,937675,Maut Rashi,माऊट राशी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
302,12751,Meha (22/33),मेहा (22/33),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600400,012751,N,,,,
303,12836,Mehra Bag,मेहरा वाग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601600,012836,N,,,,
304,12873,Mohal (35/84),मौहल (35/84),Bhuntar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00604100,012873,N,,,,
305,12927,Mohani (8/25),मोहनी (8/25),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00609500,012927,N,,,,
306,949409,Muhal Phallan.,महाल फलाण,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,eSignGOFile662648_20_02_2025_15_30_08.pdf,,,
307,949820,Naaks,नक्स,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,eSignGOFile662648_19_02_2025_12_10_54.pdf,,,
308,12740,Nagar (24/43),नगर (24/43),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600100,012740,N,,,,
309,949408,Nagu Jhod,नागु झौड,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
310,937621,Naina Ser,नैणा सेर,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
311,937589,Nalhach,नलहाच,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
312,12804,Nanga Bag,नाँगा बाग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601300,012804,N,,,,
313,12815,Nashala,नशाला,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601500,012815,N,,,,
314,12683,Nasogi (21/27),नसोगी (21/27),Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598500,012683,N,,,,
315,937643,Nathan,नथान,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
316,12822,Nathan Seri.,उपमहाल नथान सेरी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,012822,N,eSignGOFile662648_20_02_2025_13_58_27.pdf,,,
317,12706,Nayalag,नयालग,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00599000,012706,N,,,,
318,12760,Neri,नेरी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600500,012760,N,,,,
319,12876,Neul (35/88),निऊल (35/88),Bhuntar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00604500,012876,N,,,,
320,937689,Neuli,नेऊली,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
321,12977,Nirmand (20/58),निरमण्ड (20/58),Nirmand(Sub-District) / Kullu(District) / Himachal Pradesh(State),00614500,012977,N,,,,
322,12980,Nishani (19/56),निशानी (19/56),Nirmand(Sub-District) / Kullu(District) / Himachal Pradesh(State),00614800,012980,N,,,,
323,12973,Nither (20/63),नित्थर (20/63),Nither(Sub-District) / Kullu(District) / Himachal Pradesh(State),00614100,012973,N,,,,
324,12962,Nore (15/43),नोर (15/43),Nirmand(Sub-District) / Kullu(District) / Himachal Pradesh(State),00613000,012962,N,,,,
325,12917,Palahach (4/13),पलाहच (4/13),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00608500,012917,N,,,,
326,937651,Palalng,पलालंग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
327,12658,Palchan (21/24),पलचान (21/24),Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598100,012658,N,,,,
328,12958,Palehi (20/64),पलैही (20/64),Nither(Sub-District) / Kullu(District) / Himachal Pradesh(State),00612600,012958,N,,,,
329,12823,Paljot,पलजोट,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,012823,N,,,,
330,12790,Pangan,पनगां,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601000,012790,N,,,,
331,12700,Pangan (22/38),पनगां (22/38),Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598800,012700,N,,,,
332,12764,Paradi,पराडी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,012764,N,,,,
333,12774,Parbhi,परभी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600700,012774,N,,,,
334,12895,Parli (37/94),पारली (37/94),Bhuntar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00606400,012895,N,,,,
335,12831,Parsa,पारसा,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601600,012831,N,,,,
336,12690,Parsha,पारशा,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598600,012690,N,,,,
337,937684,Pechha,पेछा,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
338,949407,Pedag,पेदग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
339,12866,Peej (34/77),पीज (34/77),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00603400,012866,N,,,,
340,12937,Pekhari (12/37),पेखड़ी (12/37),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00610500,012937,N,,,,
341,12856,Phallan (30/66),फलाण (30/66),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00602400,012856,N,,,,
342,949406,Pichhla Gadiyada.,पिछला गदियाडा,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,eSignGOFile662648_20_02_2025_11_42_09.pdf,,,
343,12858,Pichhli (31/69),पिछली (31/69),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00602600,012858,N,,,,
344,12753,Pichhlihar (29/64),पिछलीहार (29/64),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600500,012753,N,,,,
345,12881,Pinni (25/48),पीणी (25/48),Jari(Sub-District) / Kullu(District) / Himachal Pradesh(State),00605000,012881,N,,,,
346,12981,Poshna (19/57),पोशना (19/57),Nirmand(Sub-District) / Kullu(District) / Himachal Pradesh(State),00614900,012981,N,,,,
347,12727,Prini (20/22),प्रीणी (20/22),Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00599900,012727,N,,,,
348,937685,Puid,पुईद,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
349,12741,Pulag,पुलग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600100,012741,N,,,,
350,12971,Rahnoo (21/66),राहणू (21/66),Nirmand(Sub-District) / Kullu(District) / Himachal Pradesh(State),00613900,012971,N,,,,
351,12897,Raila (42/105),रैला (42/105),Sainj(Sub-District) / Kullu(District) / Himachal Pradesh(State),00606500,012897,N,,,,
352,12792,Raison,रायसन,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601000,012792,N,,,,
353,12871,Rajgiri (35/82),राजगिरी (35/82),Bhuntar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00603900,012871,N,,,,
354,12738,Raman,रामण,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600000,012738,N,,,,
355,12699,Rampur,रामपुर,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598700,012699,N,,,,
356,12734,Ranghari,रांघड़ी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600000,012734,N,,,,
357,12933,Rashala (10/31),रशाला (10/31),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00610100,012933,N,,,,
358,12890,Ratocha (38/95),रतोचा (38/95),Jari(Sub-District) / Kullu(District) / Himachal Pradesh(State),00605900,012890,N,,,,
359,12921,Ratwah (6/21),रतवाह (6/21),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00608900,012921,N,,,,
360,937615,Raugi,राऊगी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
361,937687,Reserve Jungle Bodsu,रिजर्व जंगल बोडसू,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
