S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
538,18286,Paloh (42),पलोह (42),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01140100,018286,N,,,,
539,18177,Pambra (146),पांवडा (146),Gagret(Sub-District) / Una(District) / Himachal Pradesh(State),01129200,018177,N,,,,
540,18709,Pandoga (195),पंडोगा (195),Ispur(Sub-District) / Una(District) / Himachal Pradesh(State),01182400,018709,N,,,,
541,18540,Paned (7/27),पनेड (7/27),Birhu Kalan(Sub-District) / Una(District) / Himachal Pradesh(State),01165500,018540,N,,,,
542,18388,Panjarda (4/18),पंजारड़ा़,Jol(Sub-District) / Una(District) / Himachal Pradesh(State),01150300,018388,N,,,,
543,18701,Panjawar (179),पंजावर (179),Ispur(Sub-District) / Una(District) / Himachal Pradesh(State),01181600,018701,N,,,,
544,18700,Panjawar Jhikla (179),पंजावर झिकला (179),Ispur(Sub-District) / Una(District) / Himachal Pradesh(State),01181500,018700,N,,,,
545,18316,Panjoa Kalan (153),पंजोआ कलां (153),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01143100,018316,N,,,,
546,18317,Panjoa Khurd (154),पंजोआ खुर्द (154),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01143200,018317,N,,,,
547,18350,Panjora (1/1),पंजोड़ा (1/1),Jol(Sub-District) / Una(District) / Himachal Pradesh(State),01146500,018350,N,,,,
548,18844,Panjuana (465),पन्जूवाणा,Haroli(Sub-District) / Una(District) / Himachal Pradesh(State),01195700,018844,N,,,,
549,18680,Pansai (9/23),पनसाई(9/23),Bangana(Sub-District) / Una(District) / Himachal Pradesh(State),01179500,018680,N,,,,
550,18624,Pantehri (14/4),पन्तेहड़ी(14/4),Bangana(Sub-District) / Una(District) / Himachal Pradesh(State),01173900,018624,N,,,,
551,18293,Papehar (49),पपेहड़़ (49),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01140800,018293,N,,,,
552,18078,Paplehra (29/2),पपलेहड़ा(29/2),Bharwain(Sub-District) / Una(District) / Himachal Pradesh(State),01119300,018078,N,,,,
553,18412,Paproli (3/9),पपरोली(3/9),Bangana(Sub-District) / Una(District) / Himachal Pradesh(State),01152700,018412,N,,,,
554,18210,Paramb (80),प्रम्ब (80),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01132500,018210,N,,,,
555,18558,Parnolian Sanhal,परनोलियां सन्हाल,Birhu Kalan(Sub-District) / Una(District) / Himachal Pradesh(State),01167300,018558,N,,,,
556,18197,Partap Nagar (143),प्रताप नगर (143),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01131200,018197,N,,,,
557,18238,Patehar (57),पतेहड़ (57),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01135300,018238,N,,,,
558,18547,Patti (7/10),पट्टी,Birhu Kalan(Sub-District) / Una(District) / Himachal Pradesh(State),01166200,018547,N,,,,
559,18861,Polianbeet (525),पोलियां वीत(525),Dulahar(Sub-District) / Una(District) / Himachal Pradesh(State),01196300,018861,N,,,,
560,18241,Polian Prohitan (40),पोलियां परोहितां (40),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01135600,018241,N,,,,
561,18212,Poliyan Jaswalan (83),पोलियां जसवालां (83),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01132700,018212,N,,,,
562,18832,Poona (244),पूना(244),Mehatpur(Sub-District) / Una(District) / Himachal Pradesh(State),01194700,018832,N,,,,
563,18599,Proian Kalan (10/19),परोईयां कलां (10/19),Birhu Kalan(Sub-District) / Una(District) / Himachal Pradesh(State),01171400,018599,N,,,,
564,18854,Pubowal (523),पूवोेवाल(523),Dulahar(Sub-District) / Una(District) / Himachal Pradesh(State),01196100,018854,N,,,,
565,18528,Rachhoh (14/7),रछोह (14/7),Bangana(Sub-District) / Una(District) / Himachal Pradesh(State),01164300,018528,N,,,,
566,18631,Rachhol (7/30),रछोल (14/7),Birhu Kalan(Sub-District) / Una(District) / Himachal Pradesh(State),01174600,018631,N,,,,
567,18074,Rahi (26/2),उप-महाल रेही(26/2),Bharwain(Sub-District) / Una(District) / Himachal Pradesh(State),01118900,018074,N,,,,
568,18602,Raipur (10/28),रायेपुर (10/28),Birhu Kalan(Sub-District) / Una(District) / Himachal Pradesh(State),01171700,018602,N,,,,
569,18606,Raipur Uperla (10/28),रायेपुर उपरला,Birhu Kalan(Sub-District) / Una(District) / Himachal Pradesh(State),01172100,018606,N,,,,
570,18671,Rajli Baniala (9/22),राजली बन्याला(9/22),Bangana(Sub-District) / Una(District) / Himachal Pradesh(State),01178600,018671,N,,,,
571,18672,Rajli Jatan (9/28),राजली जट्टांं(9/28),Bangana(Sub-District) / Una(District) / Himachal Pradesh(State),01178700,018672,N,,,,
572,18670,Rajli Uparli (9/8),राजली उपरली(9/8),Bangana(Sub-District) / Una(District) / Himachal Pradesh(State),01178500,018670,N,,,,
573,18503,Rajpura (4/11),राजपुरा(4/11),Bangana(Sub-District) / Una(District) / Himachal Pradesh(State),01161800,018503,N,,,,
574,18292,Rakkar (48),रक्कड (48),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01140700,018292,N,,,,
575,18579,Ramgarh (10/2),रामगढ (10/2),Birhu Kalan(Sub-District) / Una(District) / Himachal Pradesh(State),01169400,018579,N,,,,
576,18371,Ramnagar (2/1),रामनगर (2/1),Jol(Sub-District) / Una(District) / Himachal Pradesh(State),01148600,018371,N,,,,
577,18081,Ramnagar (26/4),उप-महाल  राम नगर(26/4),Bharwain(Sub-District) / Una(District) / Himachal Pradesh(State),01119600,018081,N,,,,
578,18787,Rampur (209),रामपुर (209),Una(Sub-District) / Una(District) / Himachal Pradesh(State),01190200,018787,N,,,,
579,18385,Raunkhar (4/7),रौणखर (4/7),Jol(Sub-District) / Una(District) / Himachal Pradesh(State),01150000,018385,N,,,,
