S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
47,26499,Baagi(138),बागी(138),Rohru(Sub-District) / Shimla(District) / Himachal Pradesh(State),01924400,026499,N,,,,
48,24242,Bacharag(23),बछाडग(23),Dhami(Sub-District) / Shimla(District) / Himachal Pradesh(State),01730500,024242,N,,,,
49,26583,Bachari (23),बचाड़ी (23),Jangla(Sub-District) / Shimla(District) / Himachal Pradesh(State),01932800,026583,N,,,,
50,26440,Bachhunch(15),बच्छूँछ(15),Rohru(Sub-District) / Shimla(District) / Himachal Pradesh(State),01918600,026440,N,,,,
51,24907,Bachlon(210),बच्छलोन(210),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01790300,024907,N,,,,
52,25205,Badavi(353),बड़वी(353),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01816900,025205,N,,,,
53,24664,Badfar (337),बडफर (337),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01766800,024664,N,,,,
54,23706,Badhach (5),बढाच(5),Nankhari(Sub-District) / Shimla(District) / Himachal Pradesh(State),01676900,023706,N,,,,
55,24554,Badhai (102),बढई (102),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01758000,024554,N,,,,
56,23538,Badhal (50),वधाल(50),Sarahan(Sub-District) / Shimla(District) / Himachal Pradesh(State),01660100,023538,N,,,,
57,26008,Badhal (69),बढ़ाल(69),Jubbal(Sub-District) / Shimla(District) / Himachal Pradesh(State),01881500,026008,N,,,,
58,24444,Badhawani (7/92),बधावनी (7/92),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01748200,024444,N,,,,
59,26086,Badiyar (84),बदयार (84),Sarawati Nagar(Sub-District) / Shimla(District) / Himachal Pradesh(State),01889300,026086,N,,,,
60,26599,Badiyara(12),बड़ियारा (12),Jangla(Sub-District) / Shimla(District) / Himachal Pradesh(State),01934400,026599,N,,,,
61,24366,Badog (14/159),बडोग(14/159),Dhami(Sub-District) / Shimla(District) / Himachal Pradesh(State),01741000,024366,N,,,,
62,24453,Badoh (338),बड़ोह(338),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01748900,024453,N,,,,
63,26281,Badrena (125),बदरैणा(125),Kotkhai(Sub-District) / Shimla(District) / Himachal Pradesh(State),01904100,026281,N,,,,
64,26387,Badshal (27),बदशाल(27),Tikar(Sub-District) / Shimla(District) / Himachal Pradesh(State),01913300,026387,N,,,,
65,24314,Badua (67),बडूआ (67),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01736500,024314,N,,,,
66,26274,Bag (114),बाग(114),Kotkhai(Sub-District) / Shimla(District) / Himachal Pradesh(State),01903600,026274,N,,,,
67,25658,Bag (160),बाग(160),Kupvi(Sub-District) / Shimla(District) / Himachal Pradesh(State),01847400,025658,N,,,,
68,24372,Bag (161),बाग(161),Dhami(Sub-District) / Shimla(District) / Himachal Pradesh(State),01741600,024372,N,,,,
69,26288,Bag (165),बाग(165),Kotkhai(Sub-District) / Shimla(District) / Himachal Pradesh(State),01904700,026288,N,,,,
70,24197,Bag (62),बाग(62),Sunni(Sub-District) / Shimla(District) / Himachal Pradesh(State),01726000,024197,N,,,,
71,25492,Bag (97),बाग(97),Chaupal(Sub-District) / Shimla(District) / Himachal Pradesh(State),01839700,025492,N,,,,
72,24434,Bagagli (337),बघली (337),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01747300,024434,N,,,,
73,25407,Bagah (2),बगाह(2),Chaupal(Sub-District) / Shimla(District) / Himachal Pradesh(State),01834600,025407,N,,,,
74,26235,Bagahar (65),बगाहर(65),Kotkhai(Sub-District) / Shimla(District) / Himachal Pradesh(State),01900700,026235,N,,,,
75,25083,Bagain (104),बगैण(104),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01805000,025083,N,,,,
76,24075,Bagain (126),बगैँण(126),Sunni(Sub-District) / Shimla(District) / Himachal Pradesh(State),01713800,024075,N,,,,
77,23965,Bagain (158),बगैण(158),Kumarsain(Sub-District) / Shimla(District) / Himachal Pradesh(State),01702800,023965,N,,,,
78,26133,Bagain (43),बगैन(43),Kalbog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01892600,026133,N,,,,
79,25307,Bagain (92),बगैण(92),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01826000,025307,N,,,,
80,26144,Bagain Jubber(55),बगैन जुब्बड(5,Kalbog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01893700,026144,N,,,,
81,23758,Bagalti (38/1),बगलती(38/1),Nankhari(Sub-District) / Shimla(District) / Himachal Pradesh(State),01682100,023758,N,,,,
82,24156,Bagh (1),बाग(1),Jalog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01721900,024156,N,,,,
83,26606,Bagi (146),बागी (146),Jangla(Sub-District) / Shimla(District) / Himachal Pradesh(State),01935100,026606,N,,,,
84,26193,Bagi(3),बागी(3),Kotkhai(Sub-District) / Shimla(District) / Himachal Pradesh(State),01897600,026193,N,,,,
85,26630,Bagi (63),वागी (63),Chirgaon(Sub-District) / Shimla(District) / Himachal Pradesh(State),01937500,026630,N,,,,
86,24454,Bagna (343),बगना (343),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01749000,024454,N,,,,
87,25367,Bagna (7),बागना (7),Deha(Sub-District) / Shimla(District) / Himachal Pradesh(State),01831500,025367,N,,,,
88,25765,Bagna (77),बागना(77),Nerwa(Sub-District) / Shimla(District) / Himachal Pradesh(State),01857200,025765,N,,,,
89,24816,Bagna Kalan (406),बगना कलां (406),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01781400,024816,N,,,,
90,24817,Bagna Khurd (407),बगना खुर्द(407),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01781500,024817,N,,,,
91,939813,Bagog,बगोग,Shimla (Urban)(Sub-District) / Shimla(District) / Himachal Pradesh(State),,000000,N,,,,
