S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
793,19122,Muthani (479),मुठाणी (479),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01230500,019122,N,,,,
794,937798,N.A.C. Badharan (385/1),ऎन.ऎ. सी. बढारन (385/1),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),,000000,N,,,,
795,937778,N.A.C. Badoh (388/1),ऎन.ऎ.सी.बडोह (388/1),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),,000000,N,,,,
796,937800,N.A.C. Mandiyali (387/5),ऎन.ऎ.सी. मण्डयाली (387/5),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),,000000,N,,,,
797,19236,Naghiar (6),नघ्यार (6),Kalol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01231700,019236,N,,,,
798,19363,Nagraon (133),नगरांव (133),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01244400,019363,N,,,,
799,19003,Nagraon (401),नगराओ (401),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01218600,019003,N,,,,
800,19361,Nahral (135),नाहरल (135),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01244200,019361,N,,,,
801,19736,Naihar (118),नैहर (118),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01281700,019736,N,,,,
802,19024,Nain (432),नैण (432),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01220700,019024,N,,,,
803,19087,Nain Gujran (474),नैण गुजरां (474),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01227000,019087,N,,,,
804,19464,Nakhlera (153),नखलेड़ा (153),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01254500,019464,N,,,,
805,19585,Nakrana (345),नकरा़णा (345),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01266600,019585,N,,,,
806,19785,Nal (214),नाल (214),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01294700,019785,N,,,,
807,19666,Nal (288),नाल (288),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01274700,019666,N,,,,
808,19730,Nalag (131),नालग (131),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01281100,019730,N,,,,
809,19833,Nali Palon (254),नाली पलॉण (254),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01299500,019833,N,,,,
810,19151,Nalog (322),नलोग (322),Bharari(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01200400,019151,N,,,,
811,19112,Nalti (471),नालटी (471),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01229500,019112,N,,,,
812,18904,Nalti (534),नालटी (534),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01202500,018904,N,,,,
813,19906,Nalwar (48),नलवाड़ (48),Namhol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01292200,019906,N,eSignGOFile662648_30_04_2025_15_33_47.pdf,,,
814,19953,Namhol (13),नम्होल (13),Namhol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01303400,019953,N,,,,
815,19123,Nanawan (478),ननावां (478),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01230600,019123,N,,,,
816,19364,Nand (132),नण्ड (132),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01244500,019364,N,,,,
817,19525,Nand Baihl (353),नन्द बैहल (353),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01260600,019525,N,,,,
818,18960,Naswal (384),नसवाल (384),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01212500,018960,N,,,,
819,19779,Nauni (224),नौणी (224),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01294100,019779,N,,,,
820,19503,Nella (374),नैला (374),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01258400,019503,N,,,,
821,19660,Nera Kund (286),नेरा कुण्ड (286),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01274100,019660,N,,,,
822,19348,Neras (200),नेरस (200),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01242900,019348,N,,,,
823,19826,Neri (251),नेरी (251),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01298800,019826,N,,,,
824,19898,Neri (60),नेरी (60),Namhol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01291400,019898,N,,,,
825,19804,Nerli (273),नेरली (273),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01296600,019804,N,,,,
826,19759,Nihal (200),निहाल (200),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01284000,019759,N,,,,
827,19307,Nihan (205),निहाण (205),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01238800,019307,N,,,,
828,19028,Nihan (428),निहा़ण (428),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01221100,019028,N,,,,
829,19916,Niharkhan Basla (32),निहारखन्न वासला (32),Namhol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01293400,019916,N,eSignGOFile662648_30_04_2025_15_29_09.pdf,,,
830,19529,Nilan (351),नीलां (351),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01261000,019529,N,,,,
831,18899,Niun (538),नीऊं (538),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01202000,018899,N,,,,
832,19837,Noa (234),नोआ (234),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01300300,019837,N,,,,
