S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
706,17658,Garari (34/12),गरड़ी (34/12),Dhatwal(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01079700,017658,N,,,,
707,17117,Garhart (48/17),घरडाट (48/17),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01025200,017117,N,,,,
708,17477,Garli Khas (33/21),गारली खास (33/21),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01063300,017477,N,,,,
709,16535,Garni (18/29),गारनी (18/29),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00970300,016535,N,,,,
710,16485,Garoru Buhla (56/7),गरौडू वुहला (56/7),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00965300,016485,N,,,,
711,16417,Garoru Dadwalan (53/9),गरौड़ू डडवालां(53/9),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00958500,016417,N,,,,
712,16410,Garoru Ghuman (53/7),गरौडू घुमण (53/7),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00957800,016410,N,,,,
713,16438,Garoru Lagwalan (57/14),गरौड़ू लगवालां (57/14),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00960600,016438,N,,,,
714,16427,Garoru Mihalayan (57/13),गरौड़ू मिहालयां (57/13),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00959500,016427,N,,,,
715,16428,Garoru Nirkhian (57/12),गरौड़ू निर्खियां (57/12),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00959600,016428,N,,,,
716,16412,Garoru Ranautan (53/11),गरौड़ू रनौतां (53/11),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00958000,016412,N,,,,
717,16492,Garoruu (60/7),गरौडू (60/7),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00966000,016492,N,,,,
718,16484,Garoru Upperla (56/6),गरौडू उपरला (56/6),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00965200,016484,N,,,,
719,17419,Garound (31/22),ग्राउंड (31/22),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01057800,017419,N,,,,
720,16803,Garrdhun (24/15),घरडू (24/15),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01005300,016803,N,,,,
721,18034,Garsahr (43/53),गरसाहड (43/53),Bhoranj(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01114900,018034,N,,,,
722,17252,Gasota (45/7),गसोता (45/7),Lambloo(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01040400,017252,N,,,,
723,16567,Gauna (18/11),गौना (18/11),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00973500,016567,N,,,,
724,17387,Gawardu (62-4),गुवारडू (62/4),Tauni Devi Bamson(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01054700,017387,N,,,,
725,16704,Geyora (26/3),गयोड़ा (26/3),Kangoo(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00986800,016704,N,,,,
726,17271,Ghadaryana (42/54),घदरयाणा (42/54),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01042300,017271,N,,,,
727,16609,Ghalol (17/19),घलोल (17/19),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00977400,016609,N,,,,
728,17375,Ghalot (45/60),घलोट (45/60),Tauni Devi Bamson(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01053400,017375,N,,,,
729,17597,Ghaloun (40/21),घलौण (40/21),Bhota(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01074100,017597,N,,,,
730,17993,Ghamarwin (43/17),घुमारवी (43/17),Bhoranj(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01110800,017993,N,,,,
731,17161,Ghanal Kalan (47/44),घनाल कलां (47/44),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01029600,017161,N,,,,
732,17162,Ghanal Khurd (47/36),घनाल खुर्द (47/36),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01029700,017162,N,,,,
733,16478,Ghandholi (56/8),घन्डोली (56/8),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00964600,016478,N,,,,
734,17203,Ghandotla (37/15),घन्डोटला (37/15),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01033800,017203,N,,,,
735,16390,Ghanehr (54-17),घनेड़ (54/17),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00955800,016390,N,,,,
736,17461,Ghangot Kalan (33/36),घंगोट  कलां (33/36),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01061700,017461,N,,,,
737,17462,Ghangot Khurd (33/35),घंगोट खुर्द (33/35),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01061800,017462,N,,,,
738,17576,Ghansui (40/3),घनसूई (40/3),Bhota(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01072200,017576,N,,,,
739,17237,Gharan (39/7),घराण (39/7),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01039000,017237,N,,,,
740,17812,Gharan (44/21),घराण (44/21),Tauni Devi Bamson(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01092700,017812,N,,,,
741,17159,Gharan Masanda (52/9),घराणा मसंदा (52/9),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01029400,017159,N,,,,
