S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
2273,11855,Kolani (810),कुलाणी (810),Palampur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00517800,011855,N,,,,
2274,8637,Kopar (212),कोपड (212),Nurpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00196500,008637,N,,,,
2275,10551,Kopra (341),कोपड़ा (341),Bharoli(Sub-District) / Kangra(District) / Himachal Pradesh(State),00384100,010551,N,eSignGOFile131557_11_06_2024_16_54_26.pdf,,,
2276,8331,Kopra Khas (78),कोपडा खास (78),Nurpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00165900,008331,N,,,,
2277,9311,Korian (202),कोडिया (202),Harchakian(Sub-District) / Kangra(District) / Himachal Pradesh(State),00263800,009311,N,,,,
2278,10984,Korli (763),कोरली (763),Khundian(Sub-District) / Kangra(District) / Himachal Pradesh(State),00430800,010984,N,,,,
2279,11143,Korna (115),कोरना (115),Dhira(Sub-District) / Kangra(District) / Himachal Pradesh(State),00446600,011143,N,,,,
2280,11770,Kosab (717),कोसव (717),Panchrukhi(Sub-District) / Kangra(District) / Himachal Pradesh(State),00509300,011770,N,,,,
2281,11396,Kosri Khas (621),कोसरी खास (621),Jaisinghpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00471900,011396,N,,,,
2282,8667,Kot (148),कोट (148),Sadwan(Sub-District) / Kangra(District) / Himachal Pradesh(State),00199500,008667,N,,,,
2283,8814,Kot (18),कोट (18),Rey(Sub-District) / Kangra(District) / Himachal Pradesh(State),00214200,008814,N,,,,
2284,11826,Kot (234),कोट (234),Panchrukhi(Sub-District) / Kangra(District) / Himachal Pradesh(State),00514900,011826,N,,,,
2285,11231,Kot (339),कोट (339),Dhira(Sub-District) / Kangra(District) / Himachal Pradesh(State),00455400,011231,N,,,,
2286,11166,Kotha (128),कोठा (128),Dhira(Sub-District) / Kangra(District) / Himachal Pradesh(State),00448900,011166,N,,,,
2287,8830,Kothar (36),कोठार (36),Rey(Sub-District) / Kangra(District) / Himachal Pradesh(State),00215800,008830,N,,,,
2288,8515,Kothi (362),कोठी (362),Raja Ka Talab(Sub-District) / Kangra(District) / Himachal Pradesh(State),00184300,008515,N,eSignGOFile131557_01_02_2025_14_38_26.pdf,,,
2289,8424,Kothi (430),कोठी (430),Gangath(Sub-District) / Kangra(District) / Himachal Pradesh(State),00175200,008424,N,,,,
2290,11729,Kothi (543),कोठी (543),Bhawarna(Sub-District) / Kangra(District) / Himachal Pradesh(State),00505200,011729,N,,,,
2291,8800,Kothi (6),कोठी (6),Fatehpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00212800,008800,N,,,,
2292,11752,Kothi (682),कोठी (682),Panchrukhi(Sub-District) / Kangra(District) / Himachal Pradesh(State),00507500,011752,N,,,,
2293,11946,Kothi (965),कोठी (965),Chadiyar(Sub-District) / Kangra(District) / Himachal Pradesh(State),00526900,011946,N,,,,
2294,11992,Kothi Buhli (823),कोठी बुहली (823),Baijnath(Sub-District) / Kangra(District) / Himachal Pradesh(State),00531500,011992,N,,,,
2295,9732,Kothru (240),कोठडू (240),Kangra(Sub-District) / Kangra(District) / Himachal Pradesh(State),00306800,009732,N,,,,
2296,9691,Kotkwala (432),कोटकवाला (432),Kangra(Sub-District) / Kangra(District) / Himachal Pradesh(State),00301500,009691,N,,,,
2297,10545,Kotla (359),कोटला (359),Jawalamukhi(Sub-District) / Kangra(District) / Himachal Pradesh(State),00383500,010545,N,,,,
2298,9493,Kotla (39),कोटला (39),Dharmsala(Sub-District) / Kangra(District) / Himachal Pradesh(State),00283300,009493,N,,,,
2299,8419,Kotla (440),कोटला (440),Gangath(Sub-District) / Kangra(District) / Himachal Pradesh(State),00174700,008419,N,,,,
2300,10622,Kotla Khas (29),कोटला खास (29),Jaswan(Sub-District) / Kangra(District) / Himachal Pradesh(State),00394600,010622,N,,,,
2301,12055,Kotli (1032),कोटली (1032),Baijnath(Sub-District) / Kangra(District) / Himachal Pradesh(State),00537800,012055,N,,,,
2302,11303,Kotlu (513),कोटलू(513),Alampur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00462600,011303,N,,,,
2303,11297,Kotlu Khas (604),कोटलूखास (604),Jaisinghpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00462000,011297,N,,,,
2304,10884,Kotu Dhorian (869),कोटू ढोरियां (869),Majheen(Sub-District) / Kangra(District) / Himachal Pradesh(State),00420800,010884,N,,,,
2305,11076,Kotwal Lahar (405),कोतवाल लाहड (405),Thural(Sub-District) / Kangra(District) / Himachal Pradesh(State),00439900,011076,N,,,,
2306,10073,Kotwal Lahar (841),कोतवाल लाहड़ (841),Baroh(Sub-District) / Kangra(District) / Himachal Pradesh(State),00339700,010073,N,,,,
