S No,Sub-District LGD Code,Sub-District Name (In English),Sub-District Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
116,133,Mandi,,Mandi(District) / Himachal Pradesh(State),10,00133,Not Covered,,,,
117,6894,Mehatpur,,Una(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
118,196,Morang,,Kinnaur(District) / Himachal Pradesh(State),3,00196,Not Covered,,,,
119,113,Multhan,,Kangra(District) / Himachal Pradesh(State),19,00113,Not Covered,,,,
120,141,Nadaun,,Hamirpur(District) / Himachal Pradesh(State),2,00141,Not Covered,,,,
121,101,Nagrota Bagwan,,Kangra(District) / Himachal Pradesh(State),0,00101,Not Covered,,,,
122,6895,Nagrota Surian,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
123,172,Nahan,,Sirmaur(District) / Himachal Pradesh(State),6,00172,Not Covered,,,,
124,155,Naina Devi,,Bilaspur(District) / Himachal Pradesh(State),3,00155,Not Covered,,,,
125,161,Nalagarh,,Solan(District) / Himachal Pradesh(State),3,00161,Not Covered,,,,
126,157,Namhol,नम्होल,Bilaspur(District) / Himachal Pradesh(State),0,00157,Not Covered,,,,
127,178,Nankhari,,Shimla(District) / Himachal Pradesh(State),2,00178,Not Covered,,,,
128,6954,Narag,,Sirmaur(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
129,187,Nerwa,,Shimla(District) / Himachal Pradesh(State),11,00187,Not Covered,,,,
130,198,Nichar,,Kinnaur(District) / Himachal Pradesh(State),5,00198,Not Covered,,,,
131,138,Nihri,,Mandi(District) / Himachal Pradesh(State),15,00138,Not Covered,,,,
132,122,Nirmand,,Kullu(District) / Himachal Pradesh(State),6,00122,Not Covered,,,,
133,6886,Nither,,Kullu(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
134,168,Nohra,,Sirmaur(District) / Himachal Pradesh(State),2,00168,Not Covered,,,,
135,93,Nurpur,,Kangra(District) / Himachal Pradesh(State),1,00093,Not Covered,,,,
136,169,Pachhad,,Sirmaur(District) / Himachal Pradesh(State),3,00169,Not Covered,,,,
137,123,Padhar,,Mandi(District) / Himachal Pradesh(State),1,00123,Not Covered,,,,
138,6955,Pajhota,,Sirmaur(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
139,111,Palampur,,Kangra(District) / Himachal Pradesh(State),17,00111,Not Covered,,,,
140,6899,Panchrukhi,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
141,83,Pangi,,Chamba(District) / Himachal Pradesh(State),1,00083,Not Covered,,,,
142,6951,Pangna,,Mandi(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
143,6940,Panjehra,,Solan(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
144,173,Paonta Sahib,,Sirmaur(District) / Himachal Pradesh(State),7,00173,Not Covered,,,,
145,7126,Parwanoo,परवाणू,Solan(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
146,195,Poo,,Kinnaur(District) / Himachal Pradesh(State),2,00195,Not Covered,,,,
147,6905,Pragpur,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
148,6942,Pukhri,,Chamba(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
149,7288,Raja Ka Talab,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
150,167,Rajgarh,,Sirmaur(District) / Himachal Pradesh(State),1,00167,Not Covered,,,,
151,106,Rakkar,,Kangra(District) / Himachal Pradesh(State),12,00106,Not Covered,,,,
152,177,Rampur,,Shimla(District) / Himachal Pradesh(State),1,00177,Not Covered,,,,
153,160,Ramshahr,,Solan(District) / Himachal Pradesh(State),2,00160,Not Covered,,,,
154,170,Renuka,,Sirmaur(District) / Himachal Pradesh(State),4,00170,Not Covered,,,,
155,6952,Rewalsar,,Mandi(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
156,7287,Rey,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
157,191,Rohru,,Shimla(District) / Himachal Pradesh(State),15,00191,Not Covered,,,,
158,176,Ronhat,,Sirmaur(District) / Himachal Pradesh(State),10,00176,Not Covered,,,,
159,7561,Saach,साच,Chamba(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
160,7291,Sadwan,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
161,7451,Saho,साहो,Chamba(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
162,119,Sainj,,Kullu(District) / Himachal Pradesh(State),3,00119,Not Covered,,,,
163,85,Saluni,,Chamba(District) / Himachal Pradesh(State),3,00085,Not Covered,,,,
164,126,Sandhol,,Mandi(District) / Himachal Pradesh(State),4,00126,Not Covered,,,,
165,199,Sangla,,Kinnaur(District) / Himachal Pradesh(State),6,00199,Not Covered,,,,
166,6959,Sarahan,,Shimla(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
167,6960,Sarawati Nagar,,Shimla(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
168,129,Sarkaghat,,Mandi(District) / Himachal Pradesh(State),7,00129,Not Covered,,,,
169,98,Shahpur,,Kangra(District) / Himachal Pradesh(State),6,00098,Not Covered,,,,
170,175,Shillai,,Sirmaur(District) / Himachal Pradesh(State),9,00175,Not Covered,,,,
171,181,Shimla ( Rural ),,Shimla(District) / Himachal Pradesh(State),0,00181,Not Covered,,,,
172,182,Shimla (Urban),,Shimla(District) / Himachal Pradesh(State),0,00182,Not Covered,,,,
173,89,Sihunta,,Chamba(District) / Himachal Pradesh(State),7,00089,Not Covered,,,,
174,165,Solan,,Solan(District) / Himachal Pradesh(State),6,00165,Not Covered,,,,
175,116,Spiti,,Lahaul And Spiti(District) / Himachal Pradesh(State),3,00116,Not Covered,,,,
176,7048,Sulah,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
177,132,Sundarnagar,,Mandi(District) / Himachal Pradesh(State),9,00132,Not Covered,,,,
178,180,Sunni,,Shimla(District) / Himachal Pradesh(State),4,00180,Not Covered,,,,
179,6963,Taklech,,Shimla(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
180,6941,Tapri,,Kinnaur(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
